WORK    	TITANIUM	Start transcoding	N:\SoM\proxies\00 - UK - London\Preperations\MAH01921.mov.ffmpeg	TITANIUM 21:21:02	2016/12/01 21:21:02
WORK    	LITHIUM	Finished transcoding	/Volumes/proxies/00 - UK - London/Preperations/MAH01920.mov.ffmpeg	LITHIUM 21:34:10 4.48	2016/12/01 21:34:10
WORK    	LITHIUM	Start transcoding	/Volumes/proxies/00 - UK - London/Preperations/MAH01922.mov.ffmpeg	LITHIUM 21:34:10	2016/12/01 21:34:10
WORK    	KRYPTON	Finished transcoding	/Volumes/proxies/00 - UK - London/Eurotunnel - train crossing/MAH01956.mov.ffmpeg	KRYPTON 21:51:51 3.22	2016/12/01 21:51:51
WORK    	KRYPTON	Start transcoding	/Volumes/proxies/00 - UK - London/Preperations/MAH01924.mov.ffmpeg	KRYPTON 21:51:52	2016/12/01 21:51:52
WORK    	TITANIUM	Finished transcoding	N:\SoM\proxies\00 - UK - London\Preperations\MAH01921.mov.ffmpeg	TITANIUM 21:52:47 4.31	2016/12/01 21:52:47
WORK    	TITANIUM	Start transcoding	N:\SoM\proxies\00 - UK - London\Preperations\MAH01925.mov.ffmpeg	TITANIUM 21:52:47	2016/12/01 21:52:47
WORK    	KRYPTON	Finished transcoding	/Volumes/proxies/00 - UK - London/Preperations/MAH01924.mov.ffmpeg	KRYPTON 21:53:40 4.73	2016/12/01 21:53:40
WORK    	KRYPTON	Start transcoding	/Volumes/proxies/00 - UK - London/Preperations/MAH01926.mov.ffmpeg	KRYPTON 21:53:41	2016/12/01 21:53:41
WORK    	TITANIUM	Finished transcoding	N:\SoM\proxies\00 - UK - London\Preperations\MAH01925.mov.ffmpeg	TITANIUM 22:06:35 4.16	2016/12/01 22:06:36
WORK    	TITANIUM	Start transcoding	N:\SoM\proxies\00 - UK - London\Preperations\MAH01928.mov.ffmpeg	TITANIUM 22:06:37	2016/12/01 22:06:37
WORK    	KRYPTON	Finished transcoding	/Volumes/proxies/00 - UK - London/Preperations/MAH01926.mov.ffmpeg	KRYPTON 22:22:27 4.52	2016/12/01 22:22:27
WORK    	KRYPTON	Start transcoding	/Volumes/proxies/00 - UK - London/Preperations/MAH01929.mov.ffmpeg	KRYPTON 22:22:27	2016/12/01 22:22:27
WORK    	TITANIUM	Finished transcoding	N:\SoM\proxies\00 - UK - London\Preperations\MAH01928.mov.ffmpeg	TITANIUM 22:29:13 4.34	2016/12/01 22:29:14
